00010_Maximum,00010_Maximum_cd,site_no,00010_Minimum,00010_Minimum_cd,00010_Mean,00010_Mean_cd,00060_Mean,00060_Mean_cd
7.8,A,06191500,7.0,A,7.4,A,7190.0,A
8.7,A,06191500,7.6,A,8.1,A,7040.0,A
9.4,A,06191500,8.0,A,8.6,A,7840.0,A
9.4,A,06191500,7.2,A,8.0,A,9620.0,A
8.1,A,06191500,6.5,A,7.2,A,12800.0,A
7.6,A,06191500,5.6,A,6.6,A,15400.0,A
8.8,A,06191500,5.9,A,7.1,A,14400.0,A
8.8,A,06191500,6.3,A,7.3,A,12400.0,A
10.5,A,06191500,7.6,A,8.5,A,11800.0,A
10.8,A,06191500,7.4,A,9.0,A,15000.0,A
10.7,A,06191500,7.1,A,8.4,A,18300.0,A
8.9,A,06191500,6.4,A,7.0,A,23600.0,A
7.5,A,06191500,5.7,A,6.4,A,47200.0,A
7.4,A,06191500,5.4,A,6.2,A,27700.0,A
8.6,A,06191500,4.9,A,6.3,A,19900.0,A
10.9,A,06191500,7.0,A,8.5,A,17000.0,A
10.9,A,06191500,8.0,A,9.5,A,17300.0,A
11.2,A,06191500,8.7,A,9.8,A,18300.0,A
11.1,A,06191500,8.3,A,9.3,A,18300.0,A
9.5,A,06191500,7.1,A,8.1,A,16800.0,A
10.2,A,06191500,7.3,A,8.5,A,14400.0,A
11.2,A,06191500,8.6,A,9.7,A,13800.0,A
11.5,A,06191500,9.2,A,10.4,A,13900.0,A
11.5,A,06191500,9.5,A,10.2,A,14400.0,A
10.5,A,06191500,7.7,A,8.9,A,14200.0,A
11.6,A,06191500,8.8,A,10.0,A,12800.0,A
12.8,A,06191500,10.5,A,11.5,A,12300.0,A
12.8,A,06191500,10.9,A,11.8,A,12200.0,A
12.8,A,06191500,11.1,A,11.9,A,12200.0,A
12.7,A,06191500,10.5,A,11.4,A,11800.0,A
13.0,A,06191500,11.6,A,12.1,A,11000.0,A
13.5,A,06191500,12.3,A,12.9,A,10500.0,A
14.4,A,06191500,12.8,A,13.5,A,10400.0,A
14.4,A,06191500,13.2,A,13.8,A,10200.0,A
14.4,A,06191500,12.9,A,13.7,A,9680.0,A
14.4,A,06191500,13.6,A,14.0,A,9160.0,A
15.3,A,06191500,13.6,A,14.5,A,8780.0,A
15.7,A,06191500,13.9,A,14.8,A,8470.0,A
16.2,A,06191500,14.9,A,15.5,A,8030.0,A
16.2,A,06191500,15.2,A,15.6,A,7750.0,A
16.2,A,06191500,14.9,A,15.6,A,7490.0,A
17.6,A,06191500,15.7,A,16.7,A,7170.0,A
17.4,A,06191500,16.2,A,16.9,A,6930.0,A
18.1,A,06191500,16.5,A,17.4,A,7030.0,A
17.8,A,06191500,16.9,A,17.3,A,6680.0,A
